StudentRouteStopMapIID,StudentID,PickupStopMapID,DropStopMapID,IsOneWay,PickupRouteID,DropStopRouteID,SchoolID,AcademicYearID,TransportStatusID,ClassID,SectionID
36252,2694,121946.0,121946.0,False,40902.0,40902.0,30,31,2.0,23.0,21.0
36253,5446,121946.0,121946.0,False,40902.0,40902.0,30,31,2.0,11.0,10.0
36254,16565,121946.0,121946.0,False,40902.0,40902.0,30,31,2.0,1.0,24.0
36255,18498,121946.0,121946.0,False,40902.0,40902.0,30,31,2.0,1.0,27.0
36256,18318,121946.0,121946.0,False,40902.0,40902.0,30,31,2.0,1.0,27.0
36257,18319,121946.0,121946.0,False,40902.0,40902.0,30,31,2.0,18.0,21.0
36259,17501,121910.0,121910.0,,40892.0,40892.0,30,31,,1.0,21.0
36260,18531,121910.0,121910.0,,40892.0,40892.0,30,31,,18.0,9.0
36261,6017,121968.0,121968.0,False,40887.0,40887.0,30,31,2.0,18.0,22.0
36262,4403,121581.0,121968.0,False,40896.0,40887.0,30,31,2.0,10.0,24.0
36263,2435,121968.0,121968.0,False,40887.0,40887.0,30,31,2.0,28.0,11.0
36264,17504,121968.0,121968.0,False,40887.0,40887.0,30,31,2.0,15.0,11.0
36265,17505,121968.0,121968.0,False,40887.0,40887.0,30,31,2.0,21.0,7.0
36266,16936,121968.0,121968.0,False,40887.0,40887.0,30,31,2.0,31.0,10.0
36267,16937,121968.0,121968.0,False,40887.0,40887.0,30,31,2.0,18.0,22.0
36269,1865,121524.0,121524.0,,40882.0,40882.0,30,31,,31.0,7.0
36270,4331,121967.0,121967.0,,40953.0,40953.0,30,31,,21.0,8.0
36271,899,121630.0,121630.0,,40910.0,40910.0,30,31,,7.0,9.0
36273,1912,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,21.0,10.0
36274,4841,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,18.0,22.0
36275,5427,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,15.0,23.0
36276,4720,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,15.0,8.0
36277,6173,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,28.0,9.0
36278,1011,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,28.0,10.0
36279,4292,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,23.0,11.0
36280,4179,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,23.0,7.0
36281,4205,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,23.0,9.0
36282,2625,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,23.0,10.0
36283,5089,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,10.0,25.0
36284,16398,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,11.0,23.0
36285,4747,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,10.0,7.0
36286,4435,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,10.0,7.0
36287,5428,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,11.0,23.0
36289,16413,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,11.0,9.0
36290,17331,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,10.0,25.0
36291,4761,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,10.0,10.0
36292,3937,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,10.0,7.0
36293,6102,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,11.0,7.0
36294,4178,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,10.0,11.0
36295,4177,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,10.0,11.0
36296,4059,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,10.0,10.0
36297,16991,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,10.0,22.0
36298,4721,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,10.0,9.0
36299,4670,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,10.0,24.0
36300,4519,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,10.0,10.0
36301,4436,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,10.0,9.0
36302,16423,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,1.0,27.0
36304,17151,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,1.0,22.0
36306,6174,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,1.0,10.0
36307,6058,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,1.0,9.0
36308,4180,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,6.0,9.0
36309,4204,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,38.0,7.0
36310,18203,121513.0,121513.0,False,40879.0,40879.0,30,31,2.0,1.0,26.0
36312,3893,121524.0,121524.0,,40882.0,40882.0,30,31,,31.0,21.0
36313,17671,121622.0,121622.0,,40908.0,40908.0,30,31,,18.0,22.0
36316,2813,121461.0,121461.0,,40865.0,40865.0,30,31,,21.0,22.0
36318,17894,121896.0,121896.0,,40909.0,40909.0,30,31,,33.0,8.0
36319,17622,121465.0,121465.0,,40866.0,40866.0,30,31,,11.0,8.0
36320,16631,121488.0,121488.0,,40874.0,40874.0,30,31,,1.0,26.0
36321,18641,121597.0,121597.0,,40901.0,40901.0,30,31,,23.0,8.0
36322,17383,121594.0,121594.0,,40900.0,40900.0,30,31,,1.0,23.0
36323,17488,121624.0,121624.0,,40908.0,40908.0,30,31,,11.0,21.0
36325,17870,121896.0,121896.0,,40909.0,40909.0,30,31,,33.0,7.0
36326,18514,121597.0,121597.0,,40901.0,40901.0,30,31,,33.0,10.0
36327,18513,121597.0,121597.0,,40901.0,40901.0,30,31,,33.0,10.0
36328,2189,121970.0,121970.0,False,40883.0,40883.0,30,31,2.0,21.0,7.0
36329,17319,121969.0,121969.0,False,40883.0,40883.0,30,31,2.0,10.0,9.0
36332,5887,121586.0,121468.0,,40898.0,40867.0,30,31,,1.0,10.0
36333,17150,121614.0,121614.0,,40906.0,40906.0,30,31,,15.0,7.0
36334,4739,121482.0,121482.0,,40872.0,40872.0,30,31,,31.0,8.0
36335,3437,121472.0,121472.0,,40869.0,40869.0,30,31,,11.0,23.0
36336,5663,121584.0,121584.0,,40897.0,40897.0,30,31,,15.0,9.0
36337,17541,121610.0,121610.0,,40905.0,40905.0,30,31,,11.0,11.0
36338,17583,121586.0,121586.0,,40898.0,40898.0,30,31,,15.0,9.0
36339,17584,121586.0,121586.0,,40898.0,40898.0,30,31,,10.0,9.0
36340,5551,121543.0,121543.0,,40887.0,40887.0,30,31,,11.0,7.0
36341,18501,121610.0,121610.0,,40905.0,40905.0,30,31,,33.0,7.0
36342,16357,121478.0,121478.0,,40871.0,40871.0,30,31,,11.0,21.0
36343,17506,121910.0,121910.0,,40892.0,40892.0,30,31,,11.0,10.0
36358,3026,121967.0,121967.0,False,40953.0,40953.0,30,31,1.0,11.0,8.0
36359,1357,121630.0,121630.0,,40910.0,40910.0,30,31,,31.0,9.0
36360,326,121630.0,121630.0,,40910.0,40910.0,30,31,,38.0,7.0
36370,1043,121975.0,121975.0,False,40878.0,40878.0,30,31,2.0,28.0,8.0
36371,2727,121975.0,121975.0,False,40878.0,40878.0,30,31,2.0,23.0,8.0
36372,5634,121975.0,121975.0,False,40878.0,40878.0,30,31,2.0,10.0,23.0
36373,4148,121975.0,121975.0,False,40878.0,40878.0,30,31,2.0,10.0,26.0
36375,18206,121975.0,121975.0,False,40878.0,40878.0,30,31,2.0,1.0,27.0
36380,18625,121586.0,121586.0,,40898.0,40898.0,30,31,,11.0,24.0
36381,18326,121630.0,121630.0,,40910.0,40910.0,30,31,,18.0,11.0
36383,17699,121478.0,121478.0,False,40871.0,40871.0,30,31,,1.0,23.0
36386,18301,121554.0,121554.0,,40890.0,40890.0,30,31,,1.0,25.0
36387,18300,121554.0,121554.0,,40890.0,40890.0,30,31,,1.0,25.0
36391,17612,121894.0,121894.0,,40899.0,40899.0,30,31,,1.0,21.0
36392,3097,121506.0,121506.0,,40878.0,40878.0,30,31,,11.0,10.0
36402,18638,121488.0,121488.0,,40874.0,40874.0,30,31,,28.0,7.0
36404,17869,121465.0,121465.0,,40866.0,40866.0,30,31,,33.0,7.0
36405,2964,121633.0,121633.0,,40911.0,40911.0,30,31,,15.0,10.0
36406,1984,121633.0,121633.0,,40911.0,40911.0,30,31,,28.0,9.0
36409,17896,121602.0,121602.0,,40903.0,40903.0,30,31,,33.0,8.0
36410,17705,121602.0,121602.0,,40903.0,40903.0,30,31,,21.0,9.0
36411,6095,121542.0,121542.0,,40886.0,40886.0,30,31,,1.0,26.0
36428,17670,121983.0,121983.0,False,40874.0,40874.0,30,31,2.0,21.0,11.0
36429,5269,121983.0,121983.0,False,40874.0,40874.0,30,31,2.0,15.0,24.0
36430,3189,121983.0,121983.0,False,40874.0,40874.0,30,31,2.0,21.0,11.0
36431,5210,121983.0,121983.0,False,40874.0,40874.0,30,31,2.0,18.0,21.0
36432,3494,121983.0,121983.0,False,40874.0,40874.0,30,31,2.0,15.0,21.0
36433,3266,121983.0,121983.0,False,40874.0,40874.0,30,31,2.0,11.0,22.0
