RouteStopMapIID,RouteID,StopName,Longitude,Latitude
120654,40756,MUSHERIEB,,
120655,40756,FAREEJ ABDUL AZIZ,,
120660,40758,WAKRAH,,
120665,40758,EZDAN 10,,
120666,40758,EZDAN 03,,
120667,40758,AL MUFTAH VILLAGE,,
120671,40758,EZDAN 55,,
120672,40759,GHARAFA,,
120674,40759,BIN OMRAN,,
120675,40759,MADINAT KHALIFA SOUTH,,
120676,40759,AL NASR,,
120677,40759,AL SADD,,
120678,40759,FAREEJ KHULAIB,,
120679,40759,BIN MEHMOUD,,
120682,40760,THUMAMA,,
120685,40761,AL THAKHIRA,,
120694,40715,RAWDAT AL KHAIL,,
120695,40760,THUMAMA  KAHRAMAA SIDE,,
120696,40760,THUMAMA HEALTH CENTER SIDE,,
120697,40760,BEHIND ANSAR GALLERY,,
120698,40762,EV 04,,
120699,40762,EV 05,,
120702,40762,EV 22,,
120705,40762,EZDAN OASIS,,
120706,40762,WUKAIR T / ACCOMMODATION,,
120707,40762,MESHAF,,
120710,40762,EV 22,,
120711,40757,NUAIJA LULU SIDE,,
120716,40737,AL KHOR BEHIND KABAYAN,,
120717,40745,AL KHOR OLD TOYOTA  SIDE,,
120718,40745,AL KHOR BEHIND POLICE STATION,,
120719,40745,AL KHOR BEHIND HABARI,,
120720,40745,AL KHOR OLD SPORTS CLUB,,
120721,40737,AL KHOR BEHIND ANSAR GALLERY,,
120722,40737,AL KHOR BEHIND SAFARI,,
120723,40761,AL KHOR BEHIND OOREDOO,,
120724,40761,AL KHOR BEHIND AL FARDAN,,
120725,40752,NAJMA,,
120726,40757,NUAIJA TEYSEER SIDE,,
120727,40755,MAMOURA,,
120728,40762,BARWA CITY,,
120729,40762,MESAIMEER,,
120730,40743,AL KHOR BEHIND NISSAN SHOW ROOM,,
120733,40761,AL KHOR AL SULTAN BEACH,,
120734,40750,AL KHOR CORNICHE BEHIND LULU,,
120736,40725,OLD SALATA,,
120737,40709,BEHIND KEO,,
120738,40734,EZDAN 55,,
120739,40734,EZDAN 58,,
120740,40738,HILAL AL MEERA,,
120741,40738,HILAL CBQ,,
120743,40744,UMM GHWALINA,,
120744,40705,WAKRA BEHIND KIMS,,
120745,40749,NUAIJA TEYSEER SIDE,,
120747,40762,WUKAIR,,
120748,40759,AL HITMI,,
120749,40749,AL WAAB,,
120750,40687,EZDAN 27,,
120751,40689,WAKRA - BHND CBQ,,
120754,40763,EZDAN 33,,
120755,40763,EZDAN 31,,
120757,40706,WAKRA NR NEW RETAIL MART,,
120758,40706,WAKRA JANOUB STADIUM,,
120759,40741,AL MESSILA,,
120760,40764,HILAL CBQ SIDE,,
120761,40764,HILAL AL MEERA SIDE,,
120762,40764,AL MANSOURA,,
120763,40733,JERRY MUSABA,,
120764,40765,BARWA VILLAGE,,
120765,40765,SOUQ AL HARAJ,,
120766,40765,BARWA MADINATNA,,
120768,40758,AL MADINATHNA,,
120769,40735,EZDAN 04,,
120770,40710,FAREEJ KHULAIB,,
120771,40747,MESHAF,,
120772,40751,MARKHIYA MRA,,
120774,40762,EV 07,,
120775,40687,STAFF,,
120776,40688,STAFF,,
120777,40689,STAFF,,
120778,40690,STAFF,,
120779,40691,STAFF,,
120780,40692,STAFF,,
120781,40694,STAFF,,
120782,40695,STAFF,,
120783,40696,STAFF,,
120784,40697,STAFF,,
120785,40698,STAFF,,
120786,40699,STAFF,,
120787,40700,STAFF,,
120788,40701,STAFF,,
120789,40702,STAFF,,
120790,40703,STAFF,,
120791,40704,STAFF,,
120792,40706,STAFF,,
120793,40707,STAFF,,
120794,40708,STAFF,,
120795,40711,STAFF,,
120796,40709,STAFF,,
120797,40710,STAFF,,
120798,40712,STAFF,,
120799,40713,STAFF,,
120800,40705,STAFF,,
120801,40714,STAFF,,
120802,40715,STAFF,,
120803,40716,STAFF,,
120804,40717,STAFF,,
120805,40718,STAFF,,
120806,40719,STAFF,,
120807,40720,STAFF,,
120808,40721,STAFF,,
120809,40723,STAFF,,
120810,40722,STAFF,,
120811,40724,STAFF,,
120812,40725,STAFF,,
120813,40726,STAFF,,
120814,40727,STAFF,,
120815,40728,STAFF,,
120816,40729,STAFF,,
120817,40730,STAFF,,
120818,40731,STAFF,,
120819,40732,STAFF,,
120820,40733,STAFF,,
120821,40734,STAFF,,
120822,40735,STAFF,,
120823,40736,STAFF,,
120824,40763,STAFF,,
120825,40765,STAFF,,
120826,40766,THUMAMA STADIUM SIDE,,
120827,40766,THUMAMA HEALTH CENTER SIDE,,
120828,40748,STAFF,,
120829,40693,STAFF,,
120830,40742,MARKHIYA QSC SIDE,,
120831,40742,STAFF,,
120832,40766,STAFF,,
120833,40761,STAFF,,
120834,40751,STAFF,,
120835,40746,STAFF,,
120836,40749,STAFF,,
120837,40741,STAFF,,
120839,40750,STAFF,,
120840,40744,STAFF,,
120841,40740,STAFF,,
120842,40739,STAFF,,
120843,40745,STAFF,,
120844,40743,STAFF,,
120845,40738,STAFF,,
120846,40737,STAFF,,
120847,40752,STAFF,,
120848,40757,STAFF,,
120849,40758,STAFF,,
120850,40753,STAFF,,
120851,40759,STAFF,,
120852,40754,STAFF,,
120853,40755,STAFF,,
120854,40760,STAFF,,
120855,40756,STAFF,,
120856,40762,STAFF,,
120857,40764,STAFF,,
120858,40758,BARWA VILLAGE,,
120859,40765,BARWA MADINATNA - B,,
120860,40747,EZDAN 23,,
120861,40761,AL KHOR BEHIND QNB,,
120863,40758,EZDAN 11,,
120864,40767,EZDAN OASIS D BLOCK,,
120865,40767,JERRY MUSSABEH,,
120866,40767,EZDAN OASIS B BLOCK,,
120867,40767,STAFF,,
120868,40734,EZDAN 57,,
120869,40753,MURAIKH AL RAYYAN,,
120870,40753,SHABIYAT KHALIFA,,
120871,40731,UM AL SANEEM,,
120872,40747,EZDAN 04,,
120873,40747,EZDAN  06,,
120874,40752,KEO ( BEHIND OOREDOO ),,
120875,40755,ABU HAMOUR,,
120876,40714,EZDAN 24,,
120877,40763,EZDAN 37,,
120878,40763,EZDAN 40,,
120879,40763,WUKAIR,,
120880,40758,F RING  BARWA VILLAGE SIDE,,
120881,40763,EZDAN 39,,
120882,40760,THUMAMA BEHIND ANSAR GALLERY,,
120883,40742,BEHIND AL AHLI  HOSPITAL,,
120884,40750,AL SULTAN BEACH,,
120885,40749,AZIZIYA,,
120886,40734,MESHAF,,
120887,40727,BARWA MADINATNA,,
120888,40727,BARWA VILLAGE,,
120890,40727,SOUQ AL HARAJ,,
120891,40746,LUSAIL,,
120892,40687,SAFWA COMPOUND,,
120893,40751,DAFNA BEHIND AL MEERA,,
120894,40740,DUHAIL SOUTH ( BEHIND LANDMARK ),,
120895,40746,LEGTAIFIYA,,
120896,40762,EV 06,,
120897,40753,AL SUDAN,,
120898,40723,WESTBAY,,
120899,40732,WESTBAY,,
120900,40732,PEARL QATAR,,
120901,40695,WAKRAH BHND CBQ,,
120902,40695,WAKRAH BHND KIMS,,
120903,40758,F RING NEW THUMAMA COMPLEX SIDE,,
120904,40703,EZDAN JANOUB GARDEN,,
120905,40768,EZDAN 28,,
120906,40768,EZDAN 30,,
120907,40768,WUKAIR,,
120908,40768,YASMIN VILLAGE,,
120909,40768,EZDAN 27,,
120910,40768,STAFF,,
120911,40768,SAFWA COMPOUND,,
120912,40769,EZDAN 09,,
120913,40769,STAFF,,
120915,40770,AL MUFTAH VILLAGE,,
120917,40770,STAFF,,
120918,40771,OLD AIRPORT,,
120919,40771,STAFF,,
120920,40772,UMM GHWAILINA,,
120921,40772,STAFF,,
120922,40773,BIN MAHMOUD,,
120923,40773,STAFF,,
120924,40774,AL SADD,,
120925,40774,AL NASR,,
120926,40774,STAFF,,
120927,40775,AIN KHALID,,
120928,40775,ABU HAMOUR,,
120929,40775,UM AL SANEEM,,
120930,40775,STAFF,,
120931,40776,STAFF,,
120934,40777,AL KHOR,,
120935,40777,THAKHIRA,,
120936,40777,STAFF,,
120937,40778,MATAR KADEEM,,
120938,40778,OLD AIRPORT,,
120939,40778,STAFF,,
120944,40780,EZDAN OASIS,,
120945,40780,EZDAN OASIS BLOCK B,,
120946,40780,STAFF,,
120947,40781,NAJMA,,
120948,40781,MANSOURA,,
120949,40781,STAFF,,
120950,40782,EZDAN 23,,
120951,40782,EZDAN 24,,
120952,40782,WUKAIR,,
120953,40782,EZDAN 21,,
120954,40782,EZDAN 22,,
120955,40782,STAFF,,
120956,40783,THUMAMA,,
120957,40783,STAFF,,
120958,40784,EZDAN 11,,
120960,40784,UMM BESHER,,
120961,40784,STAFF,,
120963,40785,DOHA JADEED,,
120964,40785,STAFF,,
120965,40786,WAKRA,,
120967,40786,STAFF,,
120973,40788,GHARAFA,,
120974,40788,LUQTA,,
120975,40788,RAYYAN,,
120976,40788,BANI HAJR,,
120978,40788,STAFF,,
120979,40789,NEW THUMAMA,,
120980,40789,BARWA CITY,,
120981,40789,MESAEMER,,
120982,40789,STAFF,,
120986,40791,MADINAT KHALIFA SOUTH,,
120987,40791,MESSILA,,
120988,40791,FAREEJ KHULAIB,,
120989,40791,STAFF,,
120990,40792,WUKAIR,,
120991,40792,STAFF,,
120992,40793,MUSHEIREB,,
120993,40793,FAREEJ ABDUL AZIZ,,
120994,40793,STAFF,,
120995,40794,MURRAH,,
120996,40794,SAILIYA,,
120997,40794,MUAITHER,,
120998,40794,BU SIDRA,,
120999,40794,STAFF,,
121000,40795,WUKAIR,,
121002,40795,STAFF,,
121004,40796,MUNTAZAH,,
121005,40796,RAWDAT AL KHAIL,,
121006,40796,STAFF,,
121007,40797,THUMAMA,,
121008,40797,STAFF,,
121009,40798,HILAL,,
121010,40798,NUAIJA,,
121011,40798,STAFF,,
121012,40799,WAKRAH HOSPITAL SIDE,,
121013,40799,WAKRAH BEHIND RETAIL MART,,
121014,40799,STAFF,,
121015,40800,EZDAN 3,,
121016,40800,STAFF,,
121017,40801,EZDAN 04,,
121020,40801,STAFF,,
121021,40802,MESHAF,,
121022,40802,EZDAN 06,,
121023,40802,STAFF,,
121024,40803,MAMOURA,,
121025,40803,AZIZIYA,,
121026,40803,AL WAAB,,
121028,40803,STAFF,,
121029,40804,MADINAT KHALIFA NORTH,,
121030,40804,MARKHIYA,,
121031,40804,STAFF,,
121032,40804,WESTBAY,,
121033,40805,EZDAN 07,,
121034,40805,MESHAF,,
121035,40805,STAFF,,
121036,40806,RAS ABU ABOOD,,
121037,40806,OLD SALATA,,
121038,40806,STAFF,,
121039,40807,MANSOURA,,
121040,40807,STAFF,,
121041,40808,STAFF,,
121042,40808,BARWA MADINATNA,,
121043,40808,BARWA VILLAGE,,
121044,40808,SOUQ AL HARAJ,,
121045,40809,WAKRAH,,
121046,40809,STAFF,,
121047,40810,MATAR QADEEM,,
121048,40810,OLD AIRPORT,,
121049,40810,STAFF,,
121050,40811,BIN OMRAN,,
121051,40811,NEW FEREEJ AL HITMI,,
121052,40811,STAFF,,
121054,40812,ABU HAMOUR,,
121055,40812,STAFF,,
121057,40813,DUHAIL,,
121058,40813,GHARAFA,,
121059,40813,STAFF,,
121060,40813,WESTBAY,,
121061,40813,PEARL QATAR,,
121062,40814,EZDAN OASIS BLOCK A,,
121063,40814,EZDAN OASIS BLOCK C,,
121066,40814,STAFF,,
121067,40815,EZDAN 10,,
121068,40815,EZDAN 08,,
121069,40815,EZDAN 55,,
121070,40815,EZDAN 58,,
121071,40815,STAFF,,
121073,40815,MESHAF,,
121074,40816,EZDAN 05,,
121076,40816,STAFF,,
121077,40817,WAKRA BEACH SIDE,,
121079,40817,STAFF,,
121089,40819,BARWA MADINATNA,,
121090,40819,STAFF,,
121091,40819,BARWA MADINATNA - B,,
121092,40820,EZDAN OASIS D BLOCK,,
121095,40820,STAFF,,
121096,40821,UMM GHWALINA,,
121097,40821,NAJMA,,
121098,40821,STAFF,,
121100,40822,ABU HAMOUR,,
121101,40822,AIN KHALID,,
121102,40822,AZIZIA,,
121105,40822,STAFF,,
121106,40822,MURAIKH AL RAYYAN,,
121107,40822,SHABIYAT KHALIFA,,
121108,40822,AL SUDAN,,
121109,40823,OLD AIRPORT,,
121110,40823,STAFF,,
121111,40824,MUNTAZAH,,
121112,40824,NEW SALATA,,
121113,40824,MAMOURA,,
121114,40824,STAFF,,
121115,40824,ABU HAMOUR,,
121116,40825,OLD GHANIM,,
121117,40825,OLD SALATA,,
121120,40825,MUSHERIEB,,
121122,40825,STAFF,,
121123,40826,NUAIJA LULU SIDE,,
121124,40826,NUAIJA TEYSEER SIDE,,
121125,40826,STAFF,,
121126,40827,WAKRAH,,
121129,40827,AL MUFTAH VILLAGE,,
121131,40827,AL MADINATHNA,,
121132,40827,STAFF,,
121136,40827,F RING NEW THUMAMA COMPLEX SIDE,,
121138,40828,BIN OMRAN,,
121139,40828,MADINAT KHALIFA SOUTH,,
121140,40828,AL NASR,,
121141,40828,AL SADD,,
121144,40828,AL HITMI,,
121145,40828,STAFF,,
121146,40829,THUMAMA,,
121147,40829,THUMAMA  KAHRAMAA SIDE,,
121148,40829,THUMAMA HEALTH CENTER SIDE,,
121150,40829,STAFF,,
121151,40829,THUMAMA BEHIND ANSAR GALLERY,,
121154,40830,EV 22,,
121155,40830,EZDAN OASIS,,
121159,40830,BARWA CITY,,
