RouteStopMapIID,RouteID,StopName,Longitude,Latitude,geocode_lat,geocode_lon,final_lat,final_lon
121305,40858,NEW THUMAMA,,,0.0,0.0,,
121306,40858,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121307,40852,GHARAFA,,,25.3447465,51.4404612,25.3447465,51.4404612
121308,40856,DOHA JADEED,,,25.2737445,51.5001823,25.2737445,51.5001823
121309,40859,AL RAYAAN,,,25.2957785,51.4868959,25.2957785,51.4868959
121310,40859,LUQTA,,,25.3200083,51.4660272,25.3200083,51.4660272
121311,40859,SHABIAYT KHALIFA,,,0.0,0.0,,
121312,40859,GHARAFA,,,25.3447465,51.4404612,25.3447465,51.4404612
121313,40859,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121314,40849,EZDAN OASIS A BLOCK,,,0.0,0.0,,
121315,40849,EZDAN OASIS B BLOCK,,,0.0,0.0,,
121316,40849,EZDAN OASIS C BLOCK,,,0.0,0.0,,
121317,40849,EZDAN OASIS D BLOCK,,,0.0,0.0,,
121318,40858,BARWA MADINATNA G,,,25.2025843,51.551586,25.2025843,51.551586
121319,40860,BARWA MADINATNA,,,25.2025843,51.551586,25.2025843,51.551586
121320,40860,BARWA VILLAGE,,,25.2116243,51.5777549,25.2116243,51.5777549
121321,40860,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121322,40861,BIN OMRAN,,,25.3007605,51.4947297,25.3007605,51.4947297
121323,40861,FAREEJ KHULAIB,,,0.0,0.0,,
121324,40861,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121325,40852,BIN MAHMOUD,,,25.2803242,51.5143672,25.2803242,51.5143672
121326,40850,WAKRAH SPORTS CLUB,,,0.0,0.0,,
121327,40857,NEW SALATA,,,25.2602491,51.5035661,25.2602491,51.5035661
121328,40850,WAKRAH QNB SIDE,,,0.0,0.0,,
121329,40850,WAKRAH BHND RETAIL MART,,,0.0,0.0,,
121330,40835,UMM SLAL MOHAMMED,,,25.408931,51.4161901,25.408931,51.4161901
121332,40861,MADINATH KHALIFA SOUTH,,,0.0,0.0,,
121333,40804,ONAIZA,,,25.3230204,51.5212534,25.3230204,51.5212534
121334,40825,BIN MAHMOUD,,,25.2803242,51.5143672,25.2803242,51.5143672
121335,40831,DOHA JADEED,,,25.2737445,51.5001823,25.2737445,51.5001823
121336,40831,ABDUL AZIZ,,,25.2781946,51.5241898,25.2781946,51.5241898
121337,40855,MANSOURA,,,25.2656514,51.5321106,25.2656514,51.5321106
121338,40855,NAJMA,,,25.2689532,51.5424004,25.2689532,51.5424004
121340,40858,MESAIMEER MASAKEEN,,,0.0,0.0,,
121341,40830,EV 18,,,25.2882114,51.5432062,25.2882114,51.5432062
121342,40858,BARWA CITY,,,25.1955552,51.5040255,25.1955552,51.5040255
121344,40843,DUHAIL ( BEHIND LAND MARK ),,,0.0,0.0,,
121345,40849,EZDAN 30,,,25.1493218,51.5623661,25.1493218,51.5623661
121346,40830,EV 30,,,25.3535243,51.4668217,25.3535243,51.4668217
121347,40862,F RING ( NEW THUMAMA ),,,0.0,0.0,,
121348,40862,AL JANOUB GARDEN (OPPO EV03 ),,,0.0,0.0,,
121349,40862,EV 04,,,25.3272245,51.4615678,25.3272245,51.4615678
121350,40862,EV 05,,,25.3272245,51.4615678,25.3272245,51.4615678
121351,40862,EV 06,,,25.3272245,51.4615678,25.3272245,51.4615678
121352,40862,EV 03,,,25.3272245,51.4615678,25.3272245,51.4615678
121353,40862,EV 07,,,25.3272245,51.4615678,25.3272245,51.4615678
121354,40862,EV 10,,,25.3078767,51.5098318,25.3078767,51.5098318
121355,40862,EV 11,,,25.2988868,51.513436,25.2988868,51.513436
121356,40862,EV 55,,,25.2306274,51.4155856,25.2306274,51.4155856
121357,40862,MESHAF,,,25.338151,51.4783909,25.338151,51.4783909
121358,40801,AL JANOUB GARDEN,,,0.0,0.0,,
121359,40802,EZDAN 56,,,25.1721247,51.5716001,25.1721247,51.5716001
121361,40859,BU SIDRA,,,25.7233388,51.0012251,25.7233388,51.0012251
121362,40792,WUKAIR - STAFF,,,0.0,0.0,,
121363,40792,EZDAN 06 - STAFF,,,0.0,0.0,,
121364,40858,MESAIMEER ARIANA,,,0.0,0.0,,
121365,40813,UMMSLAL ALI,,,0.0,0.0,,
121366,40853,AIN KHALID,,,25.2174778,51.4591334,25.2174778,51.4591334
121367,40859,AL SOUDAN,,,25.2715677,51.4908449,25.2715677,51.4908449
121368,40830,EV 31,,,25.3408892,51.4710859,25.3408892,51.4710859
121369,40859,AZIZIYA,,,25.2482362,51.4442638,25.2482362,51.4442638
121370,40833,OLD AL GHANIM,,,25.2799354,51.5403515,25.2799354,51.5403515
121371,40844,OLD AIRPORT,,,25.2504992,51.5539414,25.2504992,51.5539414
121372,40833,FAREEJ ABDUL AZIZ,,,0.0,0.0,,
121373,40833,DOHA JADEED,,,25.2737445,51.5001823,25.2737445,51.5001823
121374,40839,HILAL AL MEERA SIDE,,,0.0,0.0,,
121375,40839,HILAL CBQ SIDE,,,0.0,0.0,,
121376,40839,MUMTHAZA,,,0.0,0.0,,
121377,40839,NEW SALATA,,,25.2602491,51.5035661,25.2602491,51.5035661
121380,40769,JANOUB GARDEN CENTRAL PARK-2,,,0.0,0.0,,
121381,40830,EV 39,51.552808,25.143944,25.2781809,51.5019019,25.2781809,51.5019019
121382,40830,EV 21,,,25.2943873,51.5091938,25.2943873,51.5091938
121383,40863,JERRY MUSSABAH,,,0.0,0.0,,
121384,40863,EZDAN OASIS BLOCK - B,,,0.0,0.0,,
121385,40863,WUKAIR - MUAITHER,,,0.0,0.0,,
121386,40863,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121388,40769,JANOUB GARDEN (OPP. EV 11),,,0.0,0.0,,
121389,40804,LEJBAILAT,,,25.320615,51.5053329,25.320615,51.5053329
121391,40849,EZDAN 40,,,25.1721247,51.5716001,25.1721247,51.5716001
121392,40785,OLD GHANIM,,,25.2812509,51.5356481,25.2812509,51.5356481
121393,40785,BEHIND KEO,,,25.2688373,51.5515128,25.2688373,51.5515128
121394,40863,WAKRAH SOUTH WEST,,,0.0,0.0,,
121395,40863,EZDAN 35,,,25.1667709,51.5731913,25.1667709,51.5731913
121396,40799,WAKRAH SOUTH,,,0.0,0.0,,
121397,40799,WAKRAH JANOUB STADIUM,,,25.1597079,51.5742271,25.1597079,51.5742271
121398,40863,MESAIEED,,,24.9953944,51.5493583,24.9953944,51.5493583
