School,Bus Plate,Trip Type,Sequence,Stop Name,Activity,Students,Staff,Total Pax,Dist (km),Time (min)
"PEARL SCHOOL, WESTBAY",46386,PM (Drop-off),4,MADINAT KHALIFA SOUTH (Part 2),DROP OFF,12,1,14,N/A,N/A
"PEARL SCHOOL, WESTBAY",46386,PM (Drop-off),5,MADINAT KHALIFA SOUTH (Part 1),DROP OFF,13,2,14,N/A,N/A
"PEARL SCHOOL, WESTBAY",46386,PM (Drop-off),6,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",49190,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, WESTBAY",49190,AM (Pickup),2,MANSOURA,PICK UP,3,8,11,3.24,4.5
"PEARL SCHOOL, WESTBAY",49190,AM (Pickup),3,NAJMA,PICK UP,4,15,19,4.74,7.1
"PEARL SCHOOL, WESTBAY",49190,AM (Pickup),4,OLD AL GHANIM,PICK UP,2,0,2,6.67,10.7
"PEARL SCHOOL, WESTBAY",49190,AM (Pickup),5,AL HITMI,PICK UP,2,0,2,7.01,11.3
"PEARL SCHOOL, WESTBAY",49190,AM (Pickup),6,OLD SALATA,PICK UP,2,0,2,8.38,13.5
"PEARL SCHOOL, WESTBAY",49190,AM (Pickup),7,SCHOOL,DROP OFF,0,0,0,10.38,17.0
"PEARL SCHOOL, WESTBAY",49190,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",49190,PM (Drop-off),2,OLD SALATA,DROP OFF,2,0,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",49190,PM (Drop-off),3,AL HITMI,DROP OFF,2,0,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",49190,PM (Drop-off),4,OLD AL GHANIM,DROP OFF,2,0,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",49190,PM (Drop-off),5,NAJMA,DROP OFF,4,15,19,N/A,N/A
"PEARL SCHOOL, WESTBAY",49190,PM (Drop-off),6,MANSOURA,DROP OFF,3,8,11,N/A,N/A
"PEARL SCHOOL, WESTBAY",49190,PM (Drop-off),7,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",49177,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, WESTBAY",49177,AM (Pickup),2,NEW SALATA,PICK UP,1,1,2,5.38,6.5
"PEARL SCHOOL, WESTBAY",49177,AM (Pickup),3,CITY CENTER,PICK UP,2,0,2,7.92,10.1
"PEARL SCHOOL, WESTBAY",49177,AM (Pickup),4,AIN KHALID,PICK UP,0,2,2,14.93,18.0
"PEARL SCHOOL, WESTBAY",49177,AM (Pickup),5,MURRAH,PICK UP,1,3,4,21.03,24.9
"PEARL SCHOOL, WESTBAY",49177,AM (Pickup),6,MUAITHER,PICK UP,1,0,1,27.60,32.6
"PEARL SCHOOL, WESTBAY",49177,AM (Pickup),7,MUSHEIREB,PICK UP,14,4,18,33.07,40.7
"PEARL SCHOOL, WESTBAY",49177,AM (Pickup),8,AL RAYYAN,PICK UP,1,0,1,91.68,82.3
"PEARL SCHOOL, WESTBAY",49177,AM (Pickup),9,DOHA JADEED,PICK UP,0,2,2,189.65,149.7
"PEARL SCHOOL, WESTBAY",49177,AM (Pickup),10,SCHOOL,DROP OFF,0,0,0,193.53,155.0
"PEARL SCHOOL, WESTBAY",49177,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",49177,PM (Drop-off),2,DOHA JADEED,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",49177,PM (Drop-off),3,AL RAYYAN,DROP OFF,1,0,1,N/A,N/A
"PEARL SCHOOL, WESTBAY",49177,PM (Drop-off),4,MUSHEIREB,DROP OFF,14,4,18,N/A,N/A
"PEARL SCHOOL, WESTBAY",49177,PM (Drop-off),5,MUAITHER,DROP OFF,1,0,1,N/A,N/A
"PEARL SCHOOL, WESTBAY",49177,PM (Drop-off),6,MURRAH,DROP OFF,1,3,4,N/A,N/A
"PEARL SCHOOL, WESTBAY",49177,PM (Drop-off),7,AIN KHALID,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",49177,PM (Drop-off),8,CITY CENTER,DROP OFF,2,0,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",49177,PM (Drop-off),9,NEW SALATA,DROP OFF,1,1,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",49177,PM (Drop-off),10,SCHOOL,PICK UP,0,0,0,N/A,N/A
