School,Bus Plate,Trip Type,Sequence,Stop Name,Activity,Students,Staff,Total Pax,Dist (km),Time (min)
"PODAR PEARL SCHOOL, AL MESHAF",254775,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",254775,PM (Drop-off),2,STAFF (Part 20),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",254775,PM (Drop-off),3,STAFF (Part 21),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",254775,PM (Drop-off),4,STAFF (Part 22),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",254775,PM (Drop-off),5,STAFF (Part 23),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",254775,PM (Drop-off),6,STAFF (Part 24),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",254775,PM (Drop-off),7,STAFF (Part 19),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",254775,PM (Drop-off),8,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265598,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PODAR PEARL SCHOOL, AL MESHAF",265598,AM (Pickup),2,STAFF (Part 25),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",265598,AM (Pickup),3,STAFF (Part 30),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",265598,AM (Pickup),4,STAFF (Part 29),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",265598,AM (Pickup),5,STAFF (Part 28),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",265598,AM (Pickup),6,STAFF (Part 27),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",265598,AM (Pickup),7,STAFF (Part 26),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",265598,AM (Pickup),8,SCHOOL,DROP OFF,0,0,0,4.87,7.2
"PODAR PEARL SCHOOL, AL MESHAF",265598,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265598,PM (Drop-off),2,STAFF (Part 26),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265598,PM (Drop-off),3,STAFF (Part 27),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265598,PM (Drop-off),4,STAFF (Part 28),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265598,PM (Drop-off),5,STAFF (Part 29),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265598,PM (Drop-off),6,STAFF (Part 30),DROP OFF,0,5,5,N/A,N/A
