School,Bus Plate,Trip Type,Sequence,Stop Name,Activity,Students,Staff,Total Pax,Dist (km),Time (min)
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),12,MADINAT KHALIFA SOUTH,DROP OFF,4,1,5,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),13,BIN OMRAN,DROP OFF,2,2,4,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),14,EV 11,DROP OFF,1,2,3,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),15,EV 21,DROP OFF,3,1,4,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),16,AL SUDAN,DROP OFF,1,0,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),17,AL NASR,DROP OFF,2,3,5,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),18,DOHA JADEED,DROP OFF,6,0,6,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),19,EV 39,DROP OFF,1,0,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),20,AL SADD,DROP OFF,1,0,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),21,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",252632 (Trip 2),AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, AL THUMAMA",252632 (Trip 2),AM (Pickup),2,STAFF (Part 4),PICK UP,0,23,23,2.27,3.3
"PEARL SCHOOL, AL THUMAMA",252632 (Trip 2),AM (Pickup),3,SCHOOL,DROP OFF,0,0,0,4.87,7.2
"PEARL SCHOOL, AL THUMAMA",252632 (Trip 2),PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",252632 (Trip 2),PM (Drop-off),2,STAFF (Part 4),DROP OFF,0,23,23,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",252632 (Trip 2),PM (Drop-off),3,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",134986 (Trip 2),AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, AL THUMAMA",134986 (Trip 2),AM (Pickup),2,STAFF (Part 1),PICK UP,0,23,23,2.27,3.3
"PEARL SCHOOL, AL THUMAMA",134986 (Trip 2),AM (Pickup),3,SCHOOL,DROP OFF,0,0,0,4.87,7.2
"PEARL SCHOOL, AL THUMAMA",134986 (Trip 2),PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",134986 (Trip 2),PM (Drop-off),2,STAFF (Part 1),DROP OFF,0,23,23,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",134986 (Trip 2),PM (Drop-off),3,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),AM (Pickup),2,BEHIND ANSAR GALLERY,PICK UP,0,1,1,7.64,8.9
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),AM (Pickup),3,MUNTAZAH,PICK UP,6,1,7,17.20,18.3
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),AM (Pickup),4,WAKRAH,PICK UP,8,15,23,20.68,23.1
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),AM (Pickup),5,MESAIEED,PICK UP,0,2,2,41.14,42.1
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),AM (Pickup),6,THUMAMA STADIUM SIDE,PICK UP,9,7,16,72.37,68.1
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),AM (Pickup),7,NEW SALATA,PICK UP,8,1,9,78.65,78.4
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),AM (Pickup),8,BIN MAHMOUD,PICK UP,3,1,4,82.57,83.7
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),AM (Pickup),9,ABDUL AZIZ,PICK UP,0,1,1,84.64,87.1
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),AM (Pickup),10,SCHOOL,DROP OFF,0,0,0,85.90,89.3
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),PM (Drop-off),2,ABDUL AZIZ,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),PM (Drop-off),3,BIN MAHMOUD,DROP OFF,3,1,4,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),PM (Drop-off),4,NEW SALATA,DROP OFF,8,1,9,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),PM (Drop-off),5,THUMAMA STADIUM SIDE,DROP OFF,9,7,16,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),PM (Drop-off),6,MESAIEED,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),PM (Drop-off),7,WAKRAH,DROP OFF,8,15,23,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),PM (Drop-off),8,MUNTAZAH,DROP OFF,6,1,7,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),PM (Drop-off),9,BEHIND ANSAR GALLERY,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167 (Trip 2),PM (Drop-off),10,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),2,ABU HAMOUR,PICK UP,2,7,9,11.59,12.2
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),3,AIN KHALID,PICK UP,4,2,6,14.46,16.2
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),4,BARWA CITY,PICK UP,1,0,1,22.47,26.1
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),5,EZDAN OASIS,PICK UP,10,8,18,35.05,40.4
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),6,EZDAN 03,PICK UP,0,1,1,42.09,51.1
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),7,EZDAN 37,PICK UP,2,1,3,47.21,62.4
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),8,EZDAN 20,PICK UP,1,0,1,53.07,71.8
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),9,EZDAN 11,PICK UP,0,1,1,54.10,75.9
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),10,EZDAN 29,PICK UP,0,1,1,54.10,75.9
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),11,EZDAN 04,PICK UP,0,2,2,54.10,75.9
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),12,EZDAN 06,PICK UP,0,2,2,54.10,75.9
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),13,EZDAN 05,PICK UP,0,2,2,54.10,75.9
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),14,EZDAN 07,PICK UP,0,1,1,54.10,75.9
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),15,WUKAIR,PICK UP,1,2,3,55.38,80.0
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),16,WUKAIR ( T / A),PICK UP,0,2,2,55.38,80.0
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),17,MAMOURA,PICK UP,5,6,11,66.50,93.8
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),18,AZIZIA,PICK UP,2,0,2,71.50,100.0
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),AM (Pickup),19,SCHOOL,DROP OFF,0,0,0,71.90,100.8
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),2,AZIZIA,DROP OFF,2,0,2,N/A,N/A
